evader_x,evader_y,evader_theta,pursuer_x,pursuer_y,pursuer_theta
35.750000,0.000000,0.000000,35.558167,35.558167,0.785398
36.000000,0.000000,0.000000,35.911720,35.911720,0.785398
36.250000,0.000000,0.000000,36.265274,36.265274,0.785398
36.500000,0.000000,0.000000,36.618828,36.618828,0.785398
36.750000,0.000000,0.000000,36.972382,36.972382,0.785398
37.000000,0.000000,0.000000,37.325935,37.325935,0.785398
37.250000,0.000000,0.000000,37.679489,37.679489,0.785398
37.500000,0.000000,0.000000,38.033043,38.033043,0.785398
37.750000,0.000000,0.000000,38.386597,38.386597,0.785398
38.000000,0.000000,0.000000,38.740150,38.740150,0.785398
38.250000,0.000000,0.000000,39.093704,39.093704,0.785398
38.500000,0.000000,0.000000,39.447258,39.447258,0.785398
38.750000,0.000000,0.000000,39.800812,39.800812,0.785398
39.000000,0.000000,0.000000,40.154366,40.154366,0.785398
39.250000,0.000000,0.000000,40.507919,40.507919,0.785398
39.500000,0.000000,0.000000,40.861473,40.861473,0.785398
39.750000,0.000000,0.000000,41.215027,41.215027,0.785398
40.000000,0.000000,0.000000,41.568581,41.568581,0.785398
40.250000,0.000000,0.000000,41.922134,41.922134,0.785398
40.500000,0.000000,0.000000,42.275688,42.275688,0.785398
40.750000,0.000000,0.000000,42.629242,42.629242,0.785398
41.000000,0.000000,0.000000,42.982796,42.982796,0.785398
41.250000,0.000000,0.000000,43.336349,43.336349,0.785398
41.500000,0.000000,0.000000,43.689903,43.689903,0.785398
41.750000,0.000000,0.000000,44.043457,44.043457,0.785398
42.000000,0.000000,0.000000,44.397011,44.397011,0.785398
42.250000,0.000000,0.000000,44.750565,44.750565,0.785398
42.500000,0.000000,0.000000,45.104118,45.104118,0.785398
42.750000,0.000000,0.000000,45.457672,45.457672,0.785398
43.000000,0.000000,0.000000,45.811226,45.811226,0.785398
43.250000,0.000000,0.000000,46.164780,46.164780,0.785398
43.500000,0.000000,0.000000,46.518333,46.518333,0.785398
43.750000,0.000000,0.000000,46.871887,46.871887,0.785398
44.000000,0.000000,0.000000,47.225441,47.225441,0.785398
44.250000,0.000000,0.000000,47.578995,47.578995,0.785398
44.500000,0.000000,0.000000,47.932549,47.932549,0.785398
44.750000,0.000000,0.000000,48.286102,48.286102,0.785398
45.000000,0.000000,0.000000,48.639656,48.639656,0.785398
45.250000,0.000000,0.000000,48.993210,48.993210,0.785398
45.500000,0.000000,0.000000,49.346764,49.346764,0.785398
45.750000,0.000000,0.000000,49.700317,49.700317,0.785398
46.000000,0.000000,0.000000,50.053871,50.053871,0.785398
46.250000,0.000000,0.000000,50.407425,50.407425,0.785398
46.500000,0.000000,0.000000,50.760979,50.760979,0.785398
46.750000,0.000000,0.000000,51.114532,51.114532,0.785398
47.000000,0.000000,0.000000,51.468086,51.468086,0.785398
47.250000,0.000000,0.000000,51.821640,51.821640,0.785398
47.500000,0.000000,0.000000,52.175194,52.175194,0.785398
47.750000,0.000000,0.000000,52.528748,52.528748,0.785398
48.000000,0.000000,0.000000,52.882301,52.882301,0.785398
48.250000,0.000000,0.000000,53.235855,53.235855,0.785398
48.500000,0.000000,0.000000,53.589409,53.589409,0.785398
48.750000,0.000000,0.000000,53.942963,53.942963,0.785398
49.000000,0.000000,0.000000,54.296516,54.296516,0.785398
49.250000,0.000000,0.000000,54.650070,54.650070,0.785398
49.500000,0.000000,0.000000,55.003624,55.003624,0.785398
49.750000,0.000000,0.000000,55.357178,55.357178,0.785398
50.000000,0.000000,0.000000,55.710732,55.710732,0.785398
50.250000,0.000000,0.000000,56.064285,56.064285,0.785398
